city,data_provider,table,intersection_id,intersection,intersection_name,intersection_lat,intersection_long,publish_timestamp,bin_start_date_time,bin_end_date_time,direction,crosswalk_approach,classification,yellow_light_runners,red_light_runners,original_content
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1775078386449000,1774904100000000,1774904160000000,CCW,S,[Pedestrian],3,0,"{binStartDateTime=2026-03-30T20:55:00Z, binEndDateTime=2026-03-30T20:56:00Z, direction=CCW, crosswalkApproach=S, classification=Pedestrian, yellowLightRunners=3, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1775078386449000,1774904160000000,1774904220000000,CCW,W,[Pedestrian],1,0,"{binStartDateTime=2026-03-30T20:56:00Z, binEndDateTime=2026-03-30T20:57:00Z, direction=CCW, crosswalkApproach=W, classification=Pedestrian, yellowLightRunners=1, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1775078386449000,1774904220000000,1774904280000000,CW,E,[Pedestrian],1,0,"{binStartDateTime=2026-03-30T20:57:00Z, binEndDateTime=2026-03-30T20:58:00Z, direction=CW, crosswalkApproach=E, classification=Pedestrian, yellowLightRunners=1, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1775078386450000,1774904340000000,1774904400000000,CCW,E,[Pedestrian],2,0,"{binStartDateTime=2026-03-30T20:59:00Z, binEndDateTime=2026-03-30T21:00:00Z, direction=CCW, crosswalkApproach=E, classification=Pedestrian, yellowLightRunners=2, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1775078386450000,1774904400000000,1774904460000000,CCW,W,[Pedestrian],1,0,"{binStartDateTime=2026-03-30T21:00:00Z, binEndDateTime=2026-03-30T21:01:00Z, direction=CCW, crosswalkApproach=W, classification=Pedestrian, yellowLightRunners=1, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1775088459821000,1774913580000000,1774913640000000,CW,W,[Pedestrian],2,0,"{binStartDateTime=2026-03-30T23:33:00Z, binEndDateTime=2026-03-30T23:34:00Z, direction=CW, crosswalkApproach=W, classification=Pedestrian, yellowLightRunners=2, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1775088459822000,1774914240000000,1774914300000000,CW,W,[Pedestrian],1,0,"{binStartDateTime=2026-03-30T23:44:00Z, binEndDateTime=2026-03-30T23:45:00Z, direction=CW, crosswalkApproach=W, classification=Pedestrian, yellowLightRunners=1, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1775088459822000,1774914360000000,1774914420000000,CCW,E,[Pedestrian],0,1,"{binStartDateTime=2026-03-30T23:46:00Z, binEndDateTime=2026-03-30T23:47:00Z, direction=CCW, crosswalkApproach=E, classification=Pedestrian, yellowLightRunners=0, redLightRunners=1}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1775088459822000,1774914360000000,1774914420000000,CCW,S,[Pedestrian],1,0,"{binStartDateTime=2026-03-30T23:46:00Z, binEndDateTime=2026-03-30T23:47:00Z, direction=CCW, crosswalkApproach=S, classification=Pedestrian, yellowLightRunners=1, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1775088459823000,1774914420000000,1774914480000000,CW,W,[Pedestrian],4,0,"{binStartDateTime=2026-03-30T23:47:00Z, binEndDateTime=2026-03-30T23:48:00Z, direction=CW, crosswalkApproach=W, classification=Pedestrian, yellowLightRunners=4, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1775073986425000,1774899420000000,1774899480000000,CCW,W,[Pedestrian],1,0,"{binStartDateTime=2026-03-30T19:37:00Z, binEndDateTime=2026-03-30T19:38:00Z, direction=CCW, crosswalkApproach=W, classification=Pedestrian, yellowLightRunners=1, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1775073986425000,1774899540000000,1774899600000000,CW,W,[Pedestrian],0,1,"{binStartDateTime=2026-03-30T19:39:00Z, binEndDateTime=2026-03-30T19:40:00Z, direction=CW, crosswalkApproach=W, classification=Pedestrian, yellowLightRunners=0, redLightRunners=1}"
